证券代码,交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
000661-SZE,2020-09-04,440.35,445,427.18,434,6730227,2920075754.7
000661-SZE,2020-09-03,457.5,458.85,448.05,451,5084535,2300398183.24
000661-SZE,2020-09-02,469.1,472.4,455,457.5,4887170,2246089644.81
000661-SZE,2020-09-01,468,478.88,465.15,468.49,4498416,2117272153.68
000661-SZE,2020-08-31,469.14,476.5,461.01,467.6,5832264,2736100320.38
000661-SZE,2020-08-28,454,464.97,450,462.94,5042080,2317075031.71
000661-SZE,2020-08-27,452,453.91,441.26,453.91,3676454,1648812431.13
000661-SZE,2020-08-26,451.18,466.21,450,452,5689750,2596087854.75
000661-SZE,2020-08-25,441,456.88,439.04,447.79,4753153,2134889509.67
000661-SZE,2020-08-24,445.8,446.8,433,441,4813346,2117942272.9
000661-SZE,2020-08-21,455,458.18,442.2,446.01,4200224,1891394234.01
000661-SZE,2020-08-20,451,459.01,444.28,449.01,4055705,1828684679.28
000661-SZE,2020-08-19,466.5,466.5,448.21,448.7,4624894,2103490533.63
000661-SZE,2020-08-18,455.1,469,453.9,467.4,4118346,1908970994.6
000661-SZE,2020-08-17,457.87,457.98,446.37,456.98,4256967,1930143083.43
000661-SZE,2020-08-14,448,457.56,438.62,452.51,6896836,3074690332.97
000661-SZE,2020-08-13,475.9,478.44,448.3,450.55,8074433,3705223236.91
000661-SZE,2020-08-12,486.88,489.8,465,475.89,5293223,2504521962.21
000661-SZE,2020-08-11,485.02,498,485.01,486.67,3816394,1881044643.71
000661-SZE,2020-08-10,480,495,469,488.5,4880499,2348071397.43
000661-SZE,2020-08-07,491,498.8,472.11,484.19,5671711,2745527364.14
000661-SZE,2020-08-06,497,501.62,489,491.54,4831945,2382361650.92
000661-SZE,2020-08-05,493.1,505,487,498.99,4910803,2449160898.04
000661-SZE,2020-08-04,496,513.5,492,500.06,6610605,3330581994.42
000661-SZE,2020-08-03,507,507.64,489.8,496.02,6448256,3193262712.16
000661-SZE,2020-07-31,495,501.99,485.01,497,6290992,3111270949.57
000661-SZE,2020-07-30,503.52,513.05,495.5,497.95,8114014,4087310774.74
000661-SZE,2020-07-29,461,503.46,461,503.22,12172355,5952160966.01
000661-SZE,2020-07-28,456,464,448.73,460.6,5208695,2378397381.59
000661-SZE,2020-07-27,450.05,457.7,449,454.28,5160184,2342243449.88
000661-SZE,2020-07-24,479.98,479.98,440.98,447.22,10003278,4583987723.45
000661-SZE,2020-07-23,480.01,494,476.57,479.9,7588077,3659984452.22
000661-SZE,2020-07-22,479,497.8,476.19,487.75,5619100,2750634395.03
000661-SZE,2020-07-21,471.9,483.9,466.01,479.26,5347500,2553380195.91
000661-SZE,2020-07-20,489.99,494.7,464,475.13,7372000,3493519806.7
000661-SZE,2020-07-17,467,490,464.05,487.15,7354735,3520396691.57
000661-SZE,2020-07-16,500.55,502.99,467,470.5,10686618,5142295931.6
000661-SZE,2020-07-15,487.47,512.88,487.3,500.55,7991165,4005438477.27
000661-SZE,2020-07-14,475,488.08,469.68,487.06,7096950,3398921955.92
000661-SZE,2020-07-13,455.01,475.8,455.01,473.31,6838577,3204678788.18
000661-SZE,2020-07-10,451,463.3,445.47,455,6364319,2907782456.86
000661-SZE,2020-07-09,442,459.5,438.01,454.58,7704858,3465528788.57
000661-SZE,2020-07-08,450,459,438,443.5,8431131,3762160556.91
000661-SZE,2020-07-07,401.68,447.93,397.01,447.93,14309292,6089908987.95
000661-SZE,2020-07-06,408,408.8,399.88,407.21,8692502,3516765848.41
000661-SZE,2020-07-03,406,412.99,396.02,409.95,7489923,3038065263.88
000661-SZE,2020-07-02,427.95,428.7,402.88,410.09,11474664,4755188081.55
000661-SZE,2020-07-01,435.3,450,425,427.88,7895636,3439091669.63
000661-SZE,2020-06-30,428.14,435.3,419,435.3,5121212,2192208768.4
000661-SZE,2020-06-29,420.5,430,417.7,424,5647601,2386760019.35
